Service,Frequency
tcp/1096,2
tcp/3917,2
tcp/3841,2
udp/62914,2
udp/56139,2
udp/57959,2
udp/49992,2
udp/54587,2
udp/61799,2
udp/50724,2
udp/56837,2
udp/53974,2
udp/41411,2
udp/51930,2
udp/20441,2
udp/61816,2
udp/61100,2
tcp/3192,2
tcp/50044,2
tcp/4195,2
tcp/46148,2
tcp/53654,2
tcp/63351,2
tcp/61471,2
tcp/3502,2
udp/55422,2
udp/51290,2
udp/57574,2
udp/44551,2
udp/41520,2
udp/46622,2
udp/39959,2
udp/36455,2
udp/53496,2
udp/54840,2
udp/64056,2
udp/62601,2
udp/48976,2
udp/59059,2
udp/47966,2
udp/33356,2
udp/56547,2
udp/61061,2
udp/61450,2
udp/20056,2
udp/40411,2
udp/46517,2
udp/40872,2
udp/44838,2
tcp/21009,2
udp/58702,2
udp/53271,2
udp/61247,2
udp/64668,2
udp/52572,2
udp/51288,2
udp/63122,2
udp/54660,2
udp/49551,2
udp/17457,2
udp/50843,2
udp/54271,2
udp/42656,2
udp/40271,2
udp/60561,2
udp/55615,2
udp/48082,2
udp/34296,2
udp/42642,2
udp/61502,2
udp/52157,2
udp/25785,2
udp/13713,2
udp/57513,2
tcp/12645,2
udp/51340,2
Citrix-ICMP,2
udp/56579,2
udp/44479,2
udp/42910,2
udp/55623,2
udp/54834,2
tcp/7152,2
tcp/6105,2
tcp/18083,2
udp/50428,2
udp/23986,2
tcp/35610,2
tcp/1045,2
tcp/1784,2
udp/62230,2
udp/60315,2
udp/43744,2
udp/33693,2
udp/46922,2
udp/49985,2
udp/47569,2
udp/61271,2
udp/47908,2
tcp/50683,2
udp/30030,2
udp/35124,2
udp/38668,2
udp/49141,2
udp/45707,2
udp/44969,2
tcp/3085,2
udp/39311,2
udp/20334,2
udp/37243,2
udp/36067,2
udp/38460,2
udp/56153,2
udp/60755,2
udp/53562,2
udp/53583,2
tcp/60490,2
udp/62111,2
udp/61116,2
tcp/31403,2
tcp/37516,2
udp/63399,2
tcp/1182,2
udp/44843,2
udp/36609,2
udp/58905,2
udp/51456,2
udp/59733,2
udp/57105,2
udp/34410,2
tcp/3366,2
tcp/13399,2
tcp/9178,2
tcp/30976,2
udp/7986,2
tcp/56070,2
udp/61288,2
udp/42117,2
udp/38299,2
tcp/29682,2
udp/56893,2
udp/9590,2
udp/52804,2
udp/56982,2
udp/62546,2
udp/58974,2
udp/36024,2
udp/60328,2
tcp/30829,2
udp/55099,2
udp/39603,2
tcp/1625,2
udp/53034,2
udp/39903,2
udp/48755,2
udp/37809,2
tcp/2388,2
udp/11896,2
tcp/2122,2
tcp/30812,2
tcp/56024,2
tcp/1097,2
udp/63877,2
udp/32038,2
udp/33146,2
udp/13770,2
udp/52210,2
tcp/4885,2
udp/44475,2
udp/11354,2
tcp/46532,2
udp/16269,2
udp/16925,2
tcp/8074,2
udp/13122,2
udp/50655,2
udp/44007,2
udp/45629,2
tcp/30515,2
tcp/31356,2
tcp/30814,2
tcp/19791,2
tcp/9152,2
tcp/28746,2
udp/63270,2
tcp/10769,2
tcp/57372,2
tcp/59382,2
udp/12945,2
udp/51759,2
udp/33287,2
udp/43205,2
udp/56613,2
tcp/36026,2
udp/64510,2
udp/53646,2
udp/49694,2
udp/65462,2
udp/59627,2
udp/65259,2
udp/53310,2
udp/50500,2
udp/49357,2
udp/55180,2
udp/56046,2
udp/19832,2
udp/43934,2
udp/37887,2
tcp/7076,2
tcp/49962,2
tcp/9606,2
tcp/41850,2
tcp/1510,2
tcp/4524,2
tcp/7098,2
udp/36983,2
udp/53472,2
udp/46445,2
udp/56441,2
tcp/20001,2
tcp/47342,2
tcp/50773,2
tcp/9277,2
tcp/9214,2
udp/62877,2
udp/62317,2
tcp/2311,2
tcp/53383,2
udp/35460,2
udp/32892,2
udp/38339,2
udp/43775,2
udp/57484,2
tcp/55372,2
udp/56230,2
udp/61853,2
udp/41594,2
udp/59068,2
udp/58678,2
udp/45286,2
tcp/2590,2
tcp/19983,2
udp/44658,2
udp/38478,2
udp/59889,2
tcp/42942,2
udp/26688,2
tcp/39117,2
udp/10544,2
udp/37575,2
udp/54498,2
udp/46303,2
udp/49732,2
udp/53303,2
tcp/27030,2
tcp/7112,2
tcp/55623,2
udp/62889,2
udp/30034,2
tcp/23023,2
tcp/45042,2
tcp/1760,2
tcp/5600,2
udp/52758,2
udp/52171,2
tcp/21241,2
udp/57733,2
udp/40399,2
udp/36784,2
udp/37715,2
udp/50990,2
udp/52198,2
udp/61275,2
udp/61466,2
udp/22769,2
udp/43996,2
udp/58024,2
udp/53130,2
udp/40782,2
udp/39075,2
udp/33704,2
tcp/30896,2
udp/37146,2
udp/16879,2
tcp/60980,2
tcp/11162,2
udp/61039,2
udp/62851,2
tcp/30728,2
tcp/63605,2
tcp/62985,2
udp/62244,2
udp/47806,2
tcp/5203,2
tcp/50398,2
tcp/30859,2
udp/63078,2
udp/63811,2
tcp/9273,2
udp/63372,2
tcp/50898,2
udp/49077,2
udp/53286,2
udp/43355,2
tcp/58166,2
tcp/10257,2
tcp/2193,2
udp/43635,2
udp/60337,2
udp/47936,2
udp/39610,2
udp/55213,2
udp/57946,2
udp/42715,2
udp/55770,2
udp/45591,2
udp/39558,2
udp/55766,2
udp/59741,2
udp/37355,2
udp/46940,2
udp/43848,2
tcp/39666,2
tcp/8056,2
tcp/20123,2
tcp/58367,2
tcp/8351,2
udp/53679,2
tcp/18081,2
tcp/9668,2
udp/44237,2
udp/11415,2
tcp/9295,2
udp/45695,2
udp/53411,2
tcp/33392,2
udp/60651,2
udp/23284,2
udp/37311,2
udp/60400,2
udp/54624,2
udp/58507,2
udp/37614,2
udp/36394,2
udp/62304,2
udp/46583,2
udp/41105,2
udp/54861,2
udp/40315,2
udp/38546,2
udp/58119,2
udp/44840,2
tcp/62714,2
tcp/57733,2
tcp/20946,2
udp/52074,2
udp/60148,2
udp/47849,2
udp/51911,2
udp/55803,2
udp/58124,2
udp/61296,2
udp/51454,2
udp/64279,2
udp/53052,2
udp/52716,2
udp/56357,2
udp/40919,2
udp/42977,2
udp/49016,2
tcp/58523,2
tcp/1299,2
tcp/87,2
tcp/20530,2
tcp/3838,2
tcp/21323,2
tcp/9039,2
udp/62667,2
udp/60446,2
tcp/30400,2
tcp/3672,2
udp/35115,2
tcp/1167,2
udp/36998,2
tcp/8106,2
udp/50190,2
tcp/9663,2
udp/8192,2
tcp/61436,2
tcp/31004,2
tcp/38158,2
udp/62682,2
udp/34764,2
udp/34533,2
udp/51418,2
udp/51313,2
tcp/55379,2
udp/15082,2
udp/39053,2
udp/44185,2
tcp/31286,2
tcp/51681,2
tcp/1541,2
tcp/7084,2
tcp/30604,2
tcp/21344,2
udp/37112,2
tcp/35531,2
udp/6959,2
udp/20512,2
udp/40829,2
udp/37368,2
udp/38647,2
udp/38246,2
tcp/8166,2
udp/35947,2
tcp/18089,2
udp/46254,2
udp/14111,2
tcp/30934,2
tcp/562,2
udp/47129,2
udp/54339,2
udp/43363,2
udp/35907,2
udp/37893,2
udp/58204,2
udp/57761,2
udp/33866,2
udp/7811,2
udp/8874,2
udp/35532,2
tcp/30530,2
tcp/5688,2
tcp/47453,2
tcp/51990,2
udp/63580,2
tcp/58470,2
tcp/49480,2
tcp/2089,2
udp/62469,2
udp/61143,2
tcp/1897,2
tcp/61907,2
tcp/18190,2
udp/13646,2
tcp/30889,2
tcp/1498,2
udp/47629,2
udp/54886,2
udp/55523,2
udp/42781,2
udp/50040,2
udp/38913,2
udp/59924,2
udp/14271,2
udp/48408,2
udp/43071,2
tcp/2009,2
udp/53546,2
udp/34673,2
udp/38012,2
udp/54230,2
tcp/880,2
udp/62169,2
tcp/8828,2
tcp/57658,2
tcp/30944,2
tcp/9888,2
tcp/21317,2
tcp/8198,2
tcp/30597,2
udp/33670,2
udp/45790,2
udp/43528,2
udp/40369,2
udp/33229,2
udp/55722,2
udp/34521,2
tcp/31323,2
udp/62071,2
udp/49617,2
tcp/27810,2
tcp/63163,2
tcp/8023,2
tcp/3687,2
udp/33567,2
udp/37210,2
udp/48998,2
udp/47663,2
udp/49524,2
udp/36929,2
udp/40101,2
udp/33614,2
udp/37837,2
udp/55970,2
udp/64708,2
udp/41058,2
udp/51243,2
udp/47251,2
udp/33040,2
udp/41865,2
udp/58085,2
udp/57606,2
udp/56461,2
udp/50022,2
udp/11336,2
tcp/5936,2
udp/22153,2
tcp/8012,2
udp/995,2
udp/465,2
tcp/1782,2
tcp/706,2
tcp/43884,2
tcp/61132,2
tcp/8052,2
tcp/954,2
tcp/60622,2
udp/62621,2
udp/52945,2
udp/60381,2
udp/50723,2
tcp/9903,2
udp/54164,2
udp/58206,2
udp/53214,2
udp/63317,2
udp/61962,2
tcp/30009,2
udp/63077,2
udp/63539,2
tcp/62370,2
udp/35920,2
udp/56402,2
tcp/2762,2
tcp/6869,2
tcp/57762,2
tcp/3057,2
tcp/51888,2
udp/56396,2
udp/35938,2
tcp/5912,2
udp/62941,2
udp/63573,2
udp/61942,2
tcp/31390,2
tcp/30947,2
udp/63337,2
udp/61127,2
udp/30340,2
udp/59417,2
udp/50867,2
udp/33402,2
udp/48505,2
udp/50752,2
udp/51322,2
udp/21139,2
udp/51637,2
udp/53240,2
udp/60369,2
udp/56024,2
tcp/38520,2
tcp/21292,2
udp/53692,2
tcp/46297,2
tcp/18966,2
udp/36149,2
udp/38821,2
udp/47124,2
udp/52747,2
udp/62829,2
udp/19005,2
tcp/30003,2
udp/17185,2
tcp/30561,2
udp/9985,2
tcp/49286,2
tcp/18073,2
udp/49712,2
tcp/48298,2
udp/59101,2
tcp/30566,2
tcp/31085,2
tcp/41538,2
udp/36010,2
udp/55161,2
udp/35651,2
udp/39164,2
udp/53050,2
tcp/1062,2
udp/60253,2
tcp/5430,2
udp/50811,2
udp/48059,2
udp/36423,2
udp/54237,2
udp/60116,2
udp/34374,2
udp/50481,2
udp/36992,2
udp/47226,2
tcp/26381,2
tcp/1741,2
udp/10157,2
tcp/8048,2
udp/22005,2
udp/44579,2
udp/63799,2
tcp/46530,2
tcp/26146,2
tcp/7899,2
tcp/24118,2
tcp/832,2
udp/18907,2
udp/61620,2
tcp/1747,2
udp/58472,2
tcp/47399,2
udp/47348,2
udp/41076,2
udp/49129,2
udp/41541,2
udp/60595,2
udp/56394,2
udp/36677,2
udp/50264,2
udp/48700,2
tcp/10045,2
udp/60960,2
tcp/61818,2
udp/38201,2
udp/20391,2
tcp/18277,2
udp/60131,2
udp/41567,2
udp/35959,2
udp/51401,2
udp/35187,2
udp/55972,2
tcp/11657,2
tcp/9173,2
udp/53820,2
tcp/28218,2
udp/63024,2
tcp/8640,2
tcp/64938,2
udp/17500,2
udp/57312,2
tcp/31359,2
udp/60487,2
udp/30404,2
tcp/48166,2
udp/39396,2
udp/48730,2
udp/56715,2
udp/57469,2
udp/35868,2
tcp/9652,2
tcp/1983,2
tcp/38886,2
udp/52609,2
udp/62013,2
udp/9696,2
tcp/31554,2
udp/40981,2
udp/36401,2
udp/44472,2
udp/56491,2
udp/13319,2
tcp/36983,2
udp/38802,2
udp/51892,2
tcp/1196,2
udp/39141,2
udp/41410,2
udp/34836,2
tcp/7700,2
udp/60138,2
udp/25404,2
udp/49570,2
udp/58123,2
udp/37444,2
udp/44798,2
tcp/54504,2
tcp/1191,2
udp/61749,2
udp/60529,2
tcp/4087,2
udp/63390,2
udp/51274,2
udp/8055,2
udp/45729,2
udp/62738,2
udp/59196,2
udp/32310,2
tcp/3094,2
udp/37019,2
tcp/2642,2
tcp/807,2
udp/60000,2
udp/48851,2
udp/42187,2
udp/48541,2
udp/55448,2
udp/45118,2
udp/47975,2
udp/47811,2
udp/50902,2
udp/38341,2
tcp/21115,2
udp/47411,2
udp/42999,2
udp/34991,2
udp/48107,2
udp/58335,2
udp/38833,2
udp/49934,2
udp/48316,2
udp/42011,2
udp/35746,2
udp/44819,2
udp/51036,2
udp/41292,2
udp/58565,2
udp/47409,2
udp/37579,2
udp/60864,2
udp/52214,2
tcp/30630,2
udp/40080,2
udp/10848,2
udp/10797,2
udp/7028,2
udp/33917,2
udp/44496,2
udp/37857,2
udp/18057,2
udp/43123,2
tcp/30586,2
tcp/46224,2
tcp/2616,2
tcp/52798,2
udp/46784,2
tcp/55422,2
udp/61785,2
udp/54921,2
tcp/40290,2
udp/23704,2
udp/44585,2
udp/46983,2
udp/21047,2
udp/37037,2
udp/15358,2
udp/19313,2
udp/59052,2
tcp/2933,2
tcp/36806,2
udp/20265,2
udp/15185,2
udp/15914,2
tcp/1292,2
tcp/45519,2
tcp/4374,2
udp/62462,2
tcp/30306,2
udp/10304,2
udp/27198,2
udp/49057,2
udp/46994,2
tcp/21007,2
tcp/1597,2
udp/16931,2
tcp/49754,2
udp/63058,2
udp/54270,2
udp/49630,2
udp/44516,2
udp/25422,2
tcp/8843,2
udp/47104,2
udp/58543,2
udp/58079,2
udp/5527,2
tcp/30751,2
udp/49558,2
udp/36515,2
udp/48120,2
udp/14959,2
udp/28668,2
udp/49810,2
udp/6513,2
udp/5719,2
udp/49165,2
udp/35908,2
udp/11560,2
udp/24396,2
udp/53930,2
udp/63614,2
udp/62277,2
udp/37595,2
udp/43937,2
udp/35536,2
udp/38044,2
udp/63810,2
udp/32766,2
udp/39349,2
udp/24683,2
udp/23778,2
udp/25776,2
udp/36709,2
udp/5922,2
udp/51405,2
udp/42129,2
udp/46851,2
udp/12587,2
udp/58043,2
udp/24265,2
udp/5762,2
udp/30326,2
udp/8982,2
udp/36078,2
udp/14232,2
udp/30603,2
udp/9629,2
udp/41936,2
udp/21364,2
udp/51103,2
udp/9858,2
udp/10415,2
udp/59185,2
udp/12213,2
udp/50791,2
udp/9451,2
udp/59403,2
udp/59648,2
udp/26632,2
udp/23301,2
udp/15498,2
udp/19281,2
udp/21939,2
udp/41338,2
udp/17183,2
udp/30500,2
udp/25702,2
udp/17821,2
udp/12786,2
udp/21388,2
udp/59498,2
udp/47139,2
udp/55565,2
udp/28061,2
udp/44409,2
udp/37735,2
udp/19129,2
udp/40956,2
udp/59197,2
udp/20506,2
udp/28724,2
udp/60162,2
udp/18194,2
udp/30580,2
udp/50548,2
udp/19121,2
udp/27623,2
udp/22581,2
udp/43440,2
udp/8017,2
udp/8299,2
udp/31261,2
udp/64178,2
udp/9810,2
udp/58544,2
udp/11171,2
udp/38568,2
udp/32764,2
udp/54594,2
udp/18737,2
udp/48461,2
udp/15261,2
udp/21039,2
udp/12017,2
udp/9130,2
udp/12691,2
udp/37009,2
udp/26007,2
udp/44216,2
udp/43454,2
udp/30589,2
udp/31803,2
udp/24565,2
udp/52774,2
udp/55431,2
udp/34103,2
udp/35467,2
udp/5847,2
udp/16123,2
udp/57667,2
udp/37244,2
udp/25218,2
udp/23450,2
udp/42756,2
udp/11961,2
udp/20317,2
udp/60306,2
udp/16386,2
udp/43441,2
udp/56500,2
udp/54969,2
udp/34204,2
udp/38561,2
udp/26610,2
udp/56909,2
udp/5932,2
udp/15999,2
udp/16784,2
udp/16827,2
udp/53161,2
udp/21375,2
udp/27059,2
udp/19674,2
udp/13519,2
udp/17878,2
udp/65396,2
udp/35035,2
udp/38417,2
udp/34115,2
udp/33537,2
udp/30528,2
udp/38648,2
udp/18617,2
udp/28175,2
udp/37859,2
udp/35166,2
udp/40206,2
udp/31472,2
udp/40658,2
udp/39770,2
udp/12796,2
udp/61422,2
udp/12927,2
udp/10503,2
udp/59246,2
udp/6127,2
udp/14480,2
udp/60876,2
udp/38001,2
udp/6528,2
udp/32623,2
udp/6361,2
udp/31203,2
udp/62569,2
udp/19862,2
udp/39066,2
udp/18915,2
udp/10511,2
udp/18764,2
udp/61129,2
udp/56844,2
udp/36954,2
udp/52069,2
udp/6827,2
udp/26440,2
udp/5531,2
udp/10827,2
udp/21615,2
udp/58803,2
udp/19041,2
udp/27612,2
udp/39853,2
udp/31630,2
udp/39852,2
udp/22245,2
udp/18362,2
udp/19707,2
udp/16105,2
udp/17121,2
udp/18253,2
udp/50035,2
udp/11363,2
udp/21164,2
udp/62403,2
udp/53619,2
udp/46919,2
udp/9018,2
udp/53792,2
udp/26345,2
udp/51336,2
udp/5459,2
udp/27205,2
udp/27651,2
udp/9512,2
udp/39705,2
udp/32386,2
udp/62270,2
udp/36362,2
udp/34694,2
udp/25968,2
udp/23476,2
udp/38877,2
udp/8845,2
udp/15295,2
udp/15789,2
udp/65263,2
udp/13361,2
udp/22437,2
udp/27088,2
udp/18906,2
udp/36877,2
udp/60832,2
udp/15747,2
udp/22304,2
udp/50630,2
udp/55599,2
udp/36716,2
udp/65275,2
udp/37377,2
udp/39937,2
udp/33806,2
udp/6412,2
udp/11703,2
udp/27308,2
udp/56018,2
udp/23179,2
udp/12058,2
udp/19988,2
udp/12309,2
udp/35014,2
udp/43329,2
udp/7439,2
udp/45761,2
udp/19581,2
udp/31748,2
udp/63857,2
udp/58114,2
udp/48686,2
udp/8463,2
udp/20810,2
udp/62189,2
udp/5738,2
udp/22617,2
udp/62085,2
tcp/30936,2
udp/19113,2
tcp/48140,2
udp/62956,2
tcp/23438,2
udp/61246,2
udp/47534,2
tcp/18205,2
tcp/2438,2
tcp/44844,2
udp/46048,2
udp/23980,2
udp/24099,2
udp/37099,2
udp/19632,2
udp/9502,2
udp/13213,2
udp/23026,2
udp/16209,2
udp/10787,2
udp/20885,2
udp/22931,2
udp/58784,2
udp/54006,2
udp/14037,2
udp/23008,2
udp/23977,2
udp/61922,2
udp/34703,2
udp/6205,2
udp/44369,2
udp/41706,2
udp/22086,2
udp/47606,2
udp/18986,2
udp/37441,2
udp/27967,2
udp/20688,2
udp/29308,2
udp/29530,2
udp/46168,2
udp/10145,2
udp/48632,2
udp/20194,2
udp/20120,2
udp/23703,2
udp/7431,2
udp/14527,2
udp/62303,2
udp/51656,2
udp/58031,2
udp/46437,2
udp/63074,2
udp/31808,2
udp/19650,2
udp/10021,2
udp/17872,2
udp/41543,2
udp/17600,2
udp/14905,2
udp/25808,2
udp/39183,2
udp/6260,2
udp/63517,2
udp/49352,2
udp/53978,2
udp/34387,2
udp/43665,2
udp/34011,2
udp/36333,2
udp/64637,2
udp/52061,2
udp/21916,2
udp/32474,2
udp/29666,2
udp/56399,2
udp/46189,2
udp/44596,2
udp/64500,2
udp/59350,2
udp/55396,2
udp/49210,2
tcp/31297,2
udp/63897,2
udp/62309,2
tcp/10911,2
tcp/21249,2
udp/35100,2
udp/54159,2
udp/54607,2
tcp/104,2
tcp/55010,2
tcp/31077,2
udp/34851,2
udp/63257,2
udp/64688,2
udp/46918,2
udp/47234,2
udp/9815,2
udp/44614,2
udp/59698,2
udp/47895,2
udp/59689,2
udp/34362,2
udp/56693,2
udp/43010,2
tcp/56162,2
tcp/45258,2
udp/61475,2
udp/62131,2
tcp/4159,2
udp/41383,2
udp/53155,2
udp/54855,2
udp/59672,2
udp/25997,2
udp/54489,2
udp/65065,2
udp/49809,2
udp/57880,2
udp/52495,2
udp/58396,2
udp/59367,2
udp/47408,2
udp/47146,2
udp/49625,2
udp/46767,2
udp/36274,2
udp/44268,2
udp/38943,2
udp/50005,2
udp/34181,2
udp/50881,2
udp/42275,2
udp/54669,2
udp/34829,2
udp/56997,2
tcp/60243,2
tcp/4828,2
tcp/30915,2
udp/18452,2
udp/26709,2
udp/13315,2
udp/57571,2
udp/51844,2
udp/59946,2
udp/64299,2
udp/62835,2
udp/60496,2
udp/60139,2
udp/53426,2
udp/62009,2
udp/53387,2
udp/42373,2
udp/38582,2
udp/46390,2
udp/37721,2
udp/53140,2
udp/42628,2
udp/49063,2
udp/34824,2
udp/49762,2
udp/39323,2
udp/50443,2
udp/58059,2
udp/57695,2
udp/56948,2
udp/34654,2
udp/46641,2
udp/42835,2
udp/37202,2
udp/44534,2
udp/19192,2
tcp/7126,2
tcp/3445,2
tcp/8044,2
udp/59567,2
udp/56174,2
udp/61688,2
udp/49310,2
udp/58159,2
udp/52668,2
tcp/1112,2
tcp/1280,2
tcp/6352,2
tcp/56509,2
tcp/62286,2
udp/32992,2
udp/41890,2
udp/43097,2
udp/57166,2
udp/53908,2
tcp/56983,2
udp/59334,2
udp/57882,2
udp/60771,2
udp/42692,2
udp/35692,2
udp/52570,2
udp/49944,2
udp/36370,2
tcp/61610,2
tcp/56082,2
tcp/63310,2
udp/43324,2
udp/52691,2
udp/54298,2
udp/55464,2
udp/57204,2
udp/57896,2
udp/52602,2
udp/49316,2
udp/58545,2
udp/57027,2
udp/59625,2
udp/64381,2
udp/50262,2
udp/56962,2
udp/63717,2
udp/63514,2
tcp/1916,2
tcp/1809,2
tcp/12416,2
tcp/30104,2
udp/48804,2
udp/47322,2
udp/42982,2
udp/32898,2
udp/12517,2
udp/60888,2
udp/62215,2
udp/21131,2
udp/33034,2
udp/33596,2
udp/57758,2
udp/34030,2
udp/57726,2
udp/45067,2
udp/23715,2
tcp/30937,2
udp/63684,2
tcp/9623,2
tcp/46956,2
udp/29574,2
tcp/16886,2
udp/61635,2
tcp/30683,2
tcp/8025,2
udp/44897,2
tcp/31095,2
udp/39014,2
udp/51076,2
udp/39516,2
udp/39587,2
udp/56450,2
udp/53150,2
udp/12005,2
tcp/6899,2
udp/7852,2
tcp/30046,2
udp/50113,2
tcp/1632,2
udp/31820,2
udp/54621,2
udp/44875,2
udp/40583,2
udp/59325,2
udp/59280,2
udp/54350,2
udp/7586,2
tcp/30875,2
udp/63501,2
tcp/3014,2
tcp/27559,2
udp/62904,2
udp/44466,2
tcp/25825,2
udp/36038,2
udp/35700,2
udp/57891,2
tcp/3786,2
udp/21011,2
tcp/11994,2
udp/38029,2
udp/55211,2
udp/42891,2
udp/45188,2
udp/45177,2
udp/40345,2
udp/64029,2
udp/24415,2
tcp/5130,2
udp/33738,2
udp/60146,2
udp/45013,2
udp/55404,2
udp/53635,2
udp/40244,2
udp/58440,2
tcp/450,2
udp/42533,2
udp/62554,2
udp/11504,2
udp/54382,2
udp/59194,2
udp/59056,2
udp/40771,2
udp/44665,2
udp/40853,2
udp/34543,2
udp/45850,2
udp/55280,2
udp/47662,2
udp/46708,2
udp/34360,2
udp/29956,2
tcp/49158,2
tcp/45916,2
tcp/8007,2
tcp/13718,2
udp/59317,2
udp/56951,2
udp/36082,2
tcp/44242,2
tcp/4970,2
udp/63103,2
udp/40883,2
udp/61651,2
udp/60818,2
udp/61382,2
udp/40814,2
udp/43498,2
udp/60180,2
udp/38039,2
udp/36335,2
udp/47647,2
udp/63036,2
udp/33154,2
tcp/30891,2
udp/12909,2
udp/60407,2
udp/43144,2
udp/60102,2
udp/11015,2
udp/62946,2
udp/43395,2
udp/45658,2
udp/51444,2
tcp/31187,2
udp/60923,2
tcp/1955,2
udp/63162,2
udp/28531,2
tcp/289,2
tcp/48486,2
udp/13482,2
udp/55146,2
udp/46388,2
udp/43838,2
udp/59822,2
udp/47356,2
udp/59012,2
tcp/43924,2
tcp/9147,2
udp/15275,2
tcp/22596,2
tcp/4734,2
udp/47503,2
udp/63231,2
udp/63243,2
tcp/530,2
udp/45000,2
tcp/1492,2
tcp/31401,2
udp/61870,2
udp/61996,2
udp/55136,2
udp/61876,2
udp/29676,2
Pinterest-NetBIOS.Session.Service,2
udp/5282,2
tcp/5456,2
udp/47807,2
tcp/33686,2
tcp/7842,2
tcp/58854,2
tcp/8005,2
tcp/7109,2
tcp/9926,2
udp/42100,2
tcp/9054,2
tcp/65146,2
tcp/40914,2
tcp/9373,2
udp/63703,2
udp/63818,2
tcp/3160,2
udp/56537,2
udp/34881,2
udp/33688,2
tcp/8991,2
tcp/47531,2
udp/43224,2
udp/54372,2
tcp/2084,2
udp/33285,2
tcp/341,2
udp/39045,2
udp/46747,2
udp/52002,2
udp/42078,2
tcp/30970,2
udp/63264,2
tcp/238,2
tcp/8073,2
tcp/22142,2
tcp/1197,2
tcp/16554,2
udp/61883,2
tcp/1450,2
tcp/12700,2
udp/32845,2
udp/47749,2
tcp/8058,2
udp/49840,2
tcp/1342,2
tcp/31289,2
udp/11391,2
tcp/31487,2
udp/18247,2
udp/6144,2
udp/30850,2
udp/40998,2
udp/54328,2
udp/33673,2
udp/52698,2
udp/61769,2
tcp/12082,2
tcp/61402,2
tcp/31022,2
tcp/8467,2
udp/60216,2
udp/60868,2
udp/38231,2
udp/62184,2
udp/20920,2
tcp/9819,2
tcp/32906,2
tcp/1892,2
tcp/62119,2
tcp/30819,2
tcp/8118,2
tcp/3351,2
tcp/31139,2
udp/53528,2
udp/54160,2
udp/33178,2
udp/16463,2
udp/42753,2
udp/46335,2
udp/38414,2
tcp/25834,2
udp/60450,2
udp/58177,2
tcp/34210,2
tcp/20390,2
udp/55434,2
udp/16202,2
udp/41607,2
udp/47558,2
udp/33431,2
udp/60811,2
udp/42829,2
udp/42699,2
udp/38386,2
tcp/30584,2
udp/49389,2
udp/49574,2
udp/62582,2
udp/18303,2
udp/51378,2
udp/54390,2
udp/15151,2
udp/63747,2
tcp/45777,2
udp/42676,2
udp/41683,2
udp/31618,2
tcp/1575,2
tcp/50316,2
udp/47981,2
udp/37033,2
udp/54577,2
tcp/38314,2
tcp/40729,2
udp/13531,2
tcp/37014,2
tcp/3129,2
tcp/61326,2
tcp/3505,2
tcp/23678,2
tcp/23731,2
udp/52583,2
udp/34932,2
udp/36887,2
udp/59493,2
udp/10027,2
tcp/8151,2
udp/57792,2
udp/57753,2
udp/54606,2
udp/64174,2
tcp/3261,2
tcp/18061,2
tcp/2443,2
tcp/45716,2
udp/43595,2
tcp/30927,2
udp/63189,2
tcp/14342,2
tcp/40715,2
tcp/16053,2
udp/29607,2
udp/50463,2
tcp/65321,2
udp/50362,2
udp/52170,2
tcp/1223,2
udp/62508,2
tcp/10019,2
tcp/31120,2
udp/45740,2
tcp/47000,2
tcp/38888,2
udp/64013,2
tcp/48180,2
udp/40388,2
tcp/30696,2
udp/14709,2
tcp/31312,2
tcp/3346,2
tcp/830,2
tcp/10663,2
udp/49824,2
udp/31438,2
udp/62019,2
udp/59649,2
udp/59691,2
udp/41824,2
udp/35505,2
udp/40721,2
udp/50638,2
udp/36922,2
udp/35753,2
tcp/31214,2
udp/39604,2
udp/61636,2
tcp/1628,2
udp/55534,2
udp/60377,2
udp/62039,2
tcp/50690,2
tcp/7101,2
udp/25504,2
tcp/1007,2
tcp/8531,2
udp/53420,2
udp/60324,2
tcp/13614,2
udp/7449,2
tcp/49680,2
udp/64546,2
udp/52812,2
tcp/1732,2
tcp/8844,2
udp/53482,2
udp/58065,2
tcp/30627,2
udp/43789,2
udp/53263,2
udp/62254,2
udp/39793,2
udp/46077,2
udp/55553,2
udp/38881,2
udp/34370,2
udp/52352,2
udp/37293,2
udp/59450,2
tcp/34198,2
tcp/30529,2
udp/63471,2
udp/36866,2
tcp/42422,2
tcp/61417,2
tcp/1158,2
udp/48970,2
udp/61454,2
udp/60004,2
udp/36480,2
udp/17425,2
udp/36027,2
udp/55321,2
udp/37236,2
udp/61121,2
udp/60870,2
tcp/18057,2
tcp/63688,2
tcp/5540,2
tcp/3839,2
udp/52091,2
udp/26502,2
tcp/7348,2
tcp/58194,2
udp/15728,2
tcp/57955,2
udp/45526,2
udp/59443,2
tcp/12648,2
udp/57210,2
udp/24190,2
tcp/57963,2
tcp/1608,2
udp/62232,2
udp/51148,2
udp/55694,2
tcp/34720,2
tcp/57968,2
udp/33026,2
udp/45479,2
udp/43408,2
udp/63668,2
tcp/3397,2
udp/64923,2
udp/61856,2
tcp/55337,2
tcp/1136,2
tcp/1249,2
tcp/720,2
tcp/8934,2
udp/63693,2
tcp/8834,2
udp/12671,2
tcp/31307,2
tcp/32927,2
udp/61964,2
udp/34062,2
udp/53378,2
udp/45256,2
udp/45170,2
udp/53125,2
udp/46535,2
udp/39199,2
